name,description,addresses,addresses_ipv6
172.27.250.0(26),零信任设备,172.27.250.0/26,
172.27.128.0(22),行业云-公网EIP,172.27.128.0/22,
inside-IP-net,内部需要外连互联网的地址集,"172.27.77.0/24,
172.27.128.0/20,
172.27.250.0/25",
移动互联网IPV4-分配16个IP,电路代号-郑州市东区移动大楼10GE000IKA-P,"117.160.150.30-117.160.150.31,
117.160.199.225-117.160.199.227,
117.160.201.83-117.160.201.83,
117.160.242.130-117.160.242.131,
117.160.247.90-117.160.247.93,
117.160.248.196-117.160.248.197",
联通互联网IPV4-分配16个IP,电路编号-760D1A14907688,218.28.144.144/28,
短信网关域名IP,短信网关对应的互联网IP,"120.55.166.172,
114.55.41.233,
36.110.217.75,
8.141.159.167,
134.175.214.142,
49.232.15.25",
易盛办公网-CM和CT出口,易盛公司办公网-移动电信互联网,"39.162.60.141,
39.162.60.242,
123.149.240.128/29",
218.28.144.148和117.160.199.225,行业云ZCE自有互联网-联通和移动,"218.28.144.148,
117.160.199.225",
218.28.144.147和117.160.150.31,行业云ZCE自有互联网-联通和移动,"218.28.144.147,
117.160.150.31",
所有CMCC和CU和CT互联网IP,行业云所有互联网-联通和移动和电信,"1.192.170.203-1.192.170.234,
39.162.50.71-39.162.50.74,
39.165.248.2-39.165.248.110,
117.160.150.30-117.160.150.31,
117.160.199.225-117.160.199.227,
117.160.201.83-117.160.201.85,
117.160.242.130-117.160.242.131,
117.160.247.90-117.160.247.93,
117.160.248.196-117.160.248.197,
171.15.18.0/24,
218.28.144.144/28",
易盛公司EIP,行业云云内-易盛公司上网IP,172.27.138.7,
218.28.144.149,企微独立公网ip,218.28.144.149,
218.28.144.150和117.160.199.227,行业云ZCE自有互联网-联通和移动,"218.28.144.150,
117.160.199.227",
EIP-新湖期货,行业云-新湖期货互联网EIP,"172.27.136.185,
172.27.136.211",
智能客服上网ip,行业云VPC-智能客服上网EIP,"172.27.137.45,
172.27.137.211",
171.15.18.37和39.162.50.71-新湖,新湖期货自有互联网-电信和移动,"171.15.18.37,
39.162.50.71",
所有信达期货-EIP,行业云-信达期货互联网EIP,"172.27.137.58,
172.27.136.121,
172.27.136.100,
172.27.136.139,
172.27.136.129,
172.27.138.42,
172.27.138.41,
172.27.137.70,
172.27.136.189,
172.27.138.116,
172.27.137.116,
172.27.137.175,
172.27.136.142,
172.27.137.117,
172.27.138.86,
172.27.136.210,
172.27.137.97,
172.27.137.217,
172.27.136.181,
172.27.136.93,
172.27.136.169,
172.27.137.25,
172.27.137.222,
172.27.136.225,
172.27.136.167,
172.27.137.128,
172.27.136.193,
172.27.136.96,
172.27.137.191,
172.27.138.82,
172.27.137.103,
172.27.136.109,
172.27.138.20,
172.27.138.148",
风险管理EIP,行业云VPC-风险管理EIP,"172.27.137.153,
172.27.136.136",
218.28.144.148-行业云单线联通入口,行业云单线联通入口,218.28.144.148,
117.160.199.225-行业云单线移动入口,行业云单线移动入口,117.160.199.225,
联通线路EIP,,172.27.136.172,
业务流程协同平台worker节点,节点源地址172.28.36.32_27，行业云SNAT,172.27.137.68,
业务流程协同EIP,,172.27.137.68,
集团化应用测试环境EIP,,"172.27.136.46,
172.27.138.50,
172.27.137.218",
企微测试EIP,,"172.27.136.249,
172.27.138.28",
交易所WPS中台测试环境,ECS:172.28.34.170,172.27.90.30,
zce财务外网生产-共享应用,NAT网关,172.27.137.210,
218.28.144.150-行业云单线联通入口,行业云单线联通入口,218.28.144.150,
117.160.199.227-行业云单线移动入口,行业云单线移动入口,117.160.199.227,
1.192.170.204和39.165.248.2-云财富1,,"1.192.170.204,
39.165.248.2",
1.192.170.205和39.165.248.3-云财富2,,"1.192.170.205,
39.165.248.3",
1.192.170.206和39.165.248.11-云财富3,,"1.192.170.206,
39.165.248.11",
1.192.170.207和39.165.248.12-云财富4,,"1.192.170.207,
39.165.248.12",
1.192.170.208和39.165.248.20-云财富5,,"1.192.170.208,
39.165.248.20",
1.192.170.209-中泰期货,,1.192.170.209,
1.192.170.210和39.165.248.22-华源期货,,"1.192.170.210,
39.165.248.22",
1.192.170.211和39.165.248.35-首创期货,,"1.192.170.211,
39.165.248.35",
1.192.170.212和39.165.248.26-渤海期货1,,"1.192.170.212,
39.165.248.26",
1.192.170.213和39.165.248.27-渤海期货2,,"1.192.170.213,
39.165.248.27",
1.192.170.214和218.28.38.75-新世纪期货1,,"1.192.170.214,
218.28.38.75",
1.192.170.216和39.165.248.45-浙期协会,,"1.192.170.216,
39.165.248.45",
1.192.170.217和39.165.248.40-浙商期货,,"1.192.170.217,
39.165.248.40",
1.192.170.234-信安和备案,行业云-ISP资质备案系统,1.192.170.234,
信安和备案互联网源IP,219.143.47.186,"219.143.47.186,
106.74.81.131,
39.162.60.141,
39.162.60.242,
123.149.240.130,
124.127.118.179",
39.165.248.46-河南协会,,39.165.248.46,
EIP-云财富,,"172.27.136.171,
172.27.140.11,
172.27.140.20,
172.27.140.12,
172.27.137.212",
EIP-中泰期货,,172.27.136.133,
EIP-华源期货,,"172.27.136.114,
172.27.137.126,
172.27.137.184",
EIP-渤海期货,,"172.27.140.71,
172.27.140.72",
EIP-浙期协会,,"172.27.137.92,
172.27.136.208",
EIP-河南协会,,"172.27.137.62,
172.27.136.34",
EIP-首创期货,,"172.27.140.41,
172.27.140.42,
172.27.140.43,
172.27.140.44",
EIP-浙商期货,,"172.27.136.215,
172.27.136.82",
39.165.248.48-广发期货,,39.165.248.48,
1.192.170.218和39.165.248.84-信达期货1,,"1.192.170.218,
39.165.248.84",
1.192.170.219和39.165.248.85-信达期货2,,"1.192.170.219,
39.165.248.85",
1.192.170.220和39.165.248.74-信达期货3,,"1.192.170.220,
39.165.248.74",
EIP-信达期货1-(218-84),,"172.27.137.58,
172.27.136.121,
172.27.136.100,
172.27.136.139,
172.27.136.129,
172.27.138.42,
172.27.138.41,
172.27.137.70,
172.27.136.189,
172.27.136.167,
172.27.137.128,
172.27.136.193,
172.27.136.96,
172.27.137.191",
EIP-信达期货2-(219-85),,"172.27.138.116,
172.27.137.116,
172.27.137.175,
172.27.136.142,
172.27.137.117,
172.27.138.86",
EIP-信达期货3-(220-74),,"172.27.136.210,
172.27.137.97,
172.27.137.217,
172.27.136.181,
172.27.136.93,
172.27.136.169,
172.27.137.25,
172.27.138.82,
172.27.137.103,
172.27.136.109,
172.27.138.148",
EIP-信达期货5-(222-82),,"172.27.137.222,
172.27.136.225",
EIP-信达临时-172.27.137.116,,172.27.137.116,
218.28.144.158,,218.28.144.158,
EIP-中财期货,,"172.27.137.40,
172.27.136.212,
172.27.137.199",
1.192.170.223和39.165.248.88-中财期货,,"1.192.170.223,
39.165.248.88",
1.192.170.230-信安IRCS,,1.192.170.230,
1.192.170.233-信安ISMS,,1.192.170.233,
172.27.250.242和24328信安,ISP资质申请―标准信安和云信安系统,"172.27.250.242,
172.27.250.243",
EIP-宏源期货,,"172.27.138.118,
172.27.136.47",
1.192.170.224和218.28.38.66-宏源期货,,"1.192.170.224,
218.28.38.66",
EIP-新世纪期货,,"172.27.136.67/32,
172.27.138.33/32,
172.27.138.112/32",
218.28.38.74-长安期货,,218.28.38.74,
EIP-长安期货,,"172.27.137.17,
172.27.137.1,
172.27.137.63",
172.27.250.244-备案,ISP资质备案系统,172.27.250.244,
218.28.38.68和183.205.158.14-西部期货,,"218.28.38.68,
183.205.158.14",
EIP-西部期货,,"172.27.138.21,
172.27.137.176,
172.27.137.65",
FD00:1:1205:8::0-61位【ES测试】,FCA云内VPC-易盛测试,,fd00:1:1205:8::/61
EIP-信达期货6-(220-71),,"172.27.138.20,
172.27.138.86",
EIP-信达期货7-(220-74-71),,"172.27.136.167,
172.27.137.128,
172.27.136.93,
172.27.136.96,
172.27.137.191,
172.27.136.109",
170.220_248.74_38.71-信达期货3网,,"1.192.170.220,
39.165.248.74,
218.28.38.71",
172.27.137.191,,172.27.137.191,
2408:8620:0:92:0:1:0:1-长安期货-IPV6,,,2408:8620:0:92:0:1:0:1
信达期货-电信联通-EIP,,"172.27.138.86,
172.27.138.20",
EIP-信达期货21-(219-70),,172.27.138.86,
1.192.170.220和218.28.38.71-信达期货31,,"1.192.170.220,
218.28.38.71",
